t,status
1780280464.083,4
1780280464.0839,4
1780280464.0849,4
1780280464.0859,4
1780280464.0869,4
1780280464.088,4
1780280464.089,4
1780280464.09,4
1780280464.091,4
1780280464.0919,4
1780280464.0929,4
1780280464.0939,4
1780280464.0949,4
1780280464.096,4
1780280464.097,4
1780280464.098,4
1780280464.099,4
1780280465.0,4
1780280465.0009,4
1780280465.0019,4
1780280465.0029,4
1780280465.0039,4
1780280465.005,4
1780280465.006,4
1780280465.007,4
1780280465.008,4
1780280465.0089,4
1780280465.0099,4
1780280465.0109,4
1780280465.0119,4
1780280465.013,4
1780280465.014,4
1780280465.015,4
1780280465.016,4
1780280465.0169,4
1780280465.0179,4
1780280465.0189,4
1780280465.0199,4
1780280465.021,4
1780280465.022,4
1780280465.023,4
1780280465.024,4
1780280465.025,4
1780280465.0259,4
1780280465.0269,4
1780280465.0279,4
1780280465.0289,4
1780280465.03,4
1780280465.031,4
1780280465.032,4
1780280465.033,4
1780280465.0339,4
1780280465.0349,4
1780280465.0359,4
1780280465.0369,4
1780280465.038,4
1780280465.039,4
1780280465.04,4
1780280465.041,4
1780280465.0419,4
1780280465.0429,4
1780280465.0439,4
1780280465.0449,4
1780280465.046,4
1780280465.047,4
1780280465.048,4
1780280465.049,4
1780280465.05,4
1780280465.0509,4
1780280465.0519,4
1780280465.0529,4
1780280465.0539,4
1780280465.055,4
1780280465.056,4
1780280465.057,4
1780280465.058,4
1780280465.0589,4
1780280465.0599,4
1780280465.0609,4
1780280465.0619,4
1780280465.063,4
1780280465.064,4
1780280465.065,4
1780280465.066,4
1780280465.0669,4
1780280465.0679,4
1780280465.0689,4
1780280465.0699,4
1780280465.071,4
1780280465.072,4
1780280465.073,4
1780280465.074,4
1780280465.075,4
1780280465.0759,4
1780280465.0769,4
1780280465.0779,4
1780280465.0789,4
1780280465.08,4
1780280465.081,4
1780280465.082,4
1780280465.083,4
1780280465.0839,4
1780280465.0849,4
1780280465.0859,4
1780280465.0869,4
1780280465.088,4
1780280465.089,4
1780280465.09,4
1780280465.091,4
1780280465.0919,4
1780280465.0929,4
1780280465.0939,4
1780280465.0949,4
1780280465.096,4
1780280465.097,4
1780280465.098,4
1780280465.099,4
1780280466.0,4
1780280466.0009,4
1780280466.0019,4
1780280466.0029,4
1780280466.0039,4
1780280466.005,4
1780280466.006,4
1780280466.007,4
1780280466.008,4
1780280466.0089,4
1780280466.0099,4
1780280466.0109,4
1780280466.0119,4
1780280466.013,4
1780280466.014,4
1780280466.015,4
1780280466.016,4
1780280466.0169,4
1780280466.0179,4
1780280466.0189,4
1780280466.0199,4
1780280466.021,4
1780280466.022,4
1780280466.023,4
1780280466.024,4
1780280466.025,4
1780280466.0259,4
1780280466.0269,4
1780280466.0279,4
1780280466.0289,4
1780280466.03,4
1780280466.031,4
1780280466.032,4
1780280466.033,4
1780280466.0339,4
1780280466.0349,4
1780280466.0359,4
1780280466.0369,4
1780280466.038,4
1780280466.039,4
1780280466.04,4
1780280466.041,4
1780280466.0419,4
1780280466.0429,4
1780280466.0439,4
1780280466.0449,4
1780280466.046,4
1780280466.047,4
1780280466.048,4
1780280466.049,4
1780280466.05,4
1780280466.0509,4
1780280466.0519,4
1780280466.0529,4
1780280466.0539,4
1780280466.055,4
1780280466.056,4
1780280466.057,4
1780280466.058,4
1780280466.0589,4
1780280466.0599,4
1780280466.0609,4
1780280466.0619,4
1780280466.063,4
1780280466.064,4
1780280466.065,4
1780280466.066,4
1780280466.0669,4
1780280466.0679,4
1780280466.0689,4
1780280466.0699,4
1780280466.071,4
1780280466.072,4
1780280466.073,4
1780280466.074,4
1780280466.075,4
1780280466.0759,4
1780280466.0769,4
1780280466.0779,4
1780280466.0789,4
1780280466.08,4
1780280466.081,4
1780280466.082,4
1780280466.083,4
1780280466.0839,4
1780280466.0849,4
1780280466.0859,4
1780280466.0869,4
1780280466.088,4
1780280466.089,4
1780280466.09,4
1780280466.091,4
1780280466.0919,4
1780280466.0929,4
1780280466.0939,4
1780280466.0949,4
1780280466.096,4
1780280466.097,4
1780280466.098,4
1780280466.099,4
1780280467.0,4
1780280467.0009,4
1780280467.0019,4
1780280467.0029,4
1780280467.0039,4
1780280467.005,4
1780280467.006,4
1780280467.007,4
1780280467.008,4
1780280467.0089,4
1780280467.0099,4
1780280467.0109,4
1780280467.0119,4
1780280467.013,4
1780280467.014,4
1780280467.015,4
1780280467.016,4
1780280467.0169,4
1780280467.0179,4
1780280467.0189,4
1780280467.0199,4
1780280467.021,4
1780280467.022,4
1780280467.023,4
1780280467.024,4
1780280467.025,4
1780280467.0259,4
1780280467.0269,4
1780280467.0279,4
1780280467.0289,4
1780280467.03,4
1780280467.031,4
1780280467.032,4
1780280467.033,4
1780280467.0339,4
1780280467.0349,4
1780280467.0359,4
1780280467.0369,4
1780280467.038,4
