header_stamp,x,y,cov_x,cov_y
1780280464.043900013,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.043900013,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.044899940,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.044899940,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.046000004,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.046000004,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.046999931,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.046999931,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.048000097,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.048000097,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.049000025,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.049000025,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.049999952,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.049999952,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.050899982,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.050899982,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.051899910,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.051899910,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.052900076,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.052900076,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.053900003,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.053900003,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.055000067,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.055000067,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.055999994,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.055999994,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.056999922,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.058000088,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.058000088,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.058000088,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.058900118,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.058900118,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.059900045,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.059900045,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.060899973,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.060899973,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.061899900,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.061899900,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.062999964,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.063999891,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.063999891,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.063999891,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.065000057,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.065000057,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.065999985,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.065999985,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.066900015,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.066900015,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.067899942,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.067899942,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.068900108,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.068900108,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.069900036,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.069900036,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.071000099,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.071000099,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.072000027,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.072000027,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.072999954,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.072999954,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.073999882,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.073999882,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.075000048,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.075000048,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.075900078,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.075900078,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.076900005,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.076900005,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.077899933,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.077899933,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.078900099,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.078900099,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.079999924,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.079999924,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.081000090,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.081000090,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.082000017,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.082000017,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.082999945,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.082999945,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.083899975,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.083899975,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.084899902,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.084899902,-89.89119949034253,-44.630289062876905,0.005,0.005
1780280464.085900068,-89.89119949034253,-44.630289062876905,0.005,0.005
