bag_ts,header_stamp,x,y,vx,vy,wz
1780294752.938203812,1780294752.918176889,-209.09608976726963,-103.67673411322745,0.0,0.0,0.0
1780294752.958021402,1780294752.939080715,-209.09593427541458,-103.67665115341207,0.0,0.0,0.0
1780294752.977960587,1780294752.960839033,-209.0958220679746,-103.67659122630423,0.0,0.0,0.0
1780294752.995496988,1780294752.980751991,-209.0957441235673,-103.67654956380277,0.0,0.0,0.0
1780294753.011335373,1780294752.998086452,-209.09567096010264,-103.67651042820961,0.0,0.0,0.0
1780294753.028877258,1780294753.018287182,-209.09559108007846,-103.67646766501268,0.0,0.0,0.0
1780294753.047920942,1780294753.037955761,-209.09536995966866,-103.67635009972132,0.0,0.0,0.0
1780294753.065319777,1780294753.057982683,-209.09519938448292,-103.67625924839,0.0,0.0,0.0
1780294753.090990543,1780294753.077986717,-209.09505898354902,-103.67618426698473,0.0,0.0,0.0
1780294753.120437384,1780294753.098008394,-209.0949568777942,-103.67612944752547,0.0,0.0,0.0
1780294753.147224903,1780294753.123137951,-209.0949019125125,-103.6760997760173,0.0,0.0,0.0
1780294753.162360191,1780294753.153537989,-209.0948725210228,-103.67608377603473,0.0,0.0,0.0
1780294753.177241087,1780294753.168950081,-209.09485309041807,-103.67607311824212,0.0,0.0,0.0
1780294753.192920446,1780294753.180490017,-209.09483992749784,-103.67606585072097,0.0,0.0,0.0
1780294753.205787659,1780294753.198006153,-209.09483113865323,-103.67606097265863,0.0,0.0,0.0
1780294753.237971544,1780294753.218219995,-209.09481599679916,-103.67605250394745,0.0,0.0,0.0
1780294753.247844696,1780294753.237995148,-209.09480536898107,-103.67604649868288,0.0,0.0,0.0
1780294753.271288157,1780294753.259260416,-209.09479122044345,-103.67603839976803,0.0,0.0,0.0
1780294753.290446043,1780294753.278241634,-209.0947797333248,-103.6760317075626,0.0,0.0,0.0
1780294753.325296640,1780294753.298010349,-209.09477132863796,-103.6760267221982,0.0,0.0,0.0
1780294753.336257696,1780294753.326133728,-209.09476708167162,-103.67602416716045,0.0,0.0,0.0
1780294753.344974995,1780294753.337979794,-209.09480970977316,-103.67604644897312,0.0,0.0,0.0
1780294753.366818428,1780294753.359476328,-209.0949839043577,-103.67613868645408,0.0,0.0,0.0
1780294753.387704849,1780294753.377997398,-209.0952605245564,-103.6762853231064,0.0,0.0,0.0
1780294753.421746016,1780294753.397994280,-209.0955999498809,-103.67646534144615,0.0,0.0,0.0
1780294753.455748320,1780294753.434458017,-209.09588735123688,-103.67661786450127,0.0,0.0,0.0
1780294753.472615242,1780294753.458083868,-209.09613382999373,-103.67674875944319,0.0,0.0,0.0
1780294753.488517046,1780294753.478089333,-209.09632745522055,-103.67685165781809,0.0,0.0,0.0
1780294753.516612768,1780294753.497922659,-209.0964626461724,-103.67692354735554,0.0,0.0,0.0
1780294753.539147139,1780294753.530342102,-209.0965535946487,-103.67697192861392,0.0,0.0,0.0
1780294753.562231064,1780294753.544708967,-209.09663903720474,-103.67701739990515,0.0,0.0,0.0
1780294753.575538635,1780294753.561562777,-209.09672087577908,-103.67706096642108,0.0,0.0,0.0
1780294753.596780539,1780294753.579880953,-209.09678481793983,-103.67709501167516,0.0,0.0,0.0
1780294753.613867283,1780294753.599239588,-209.09684705818856,-103.67712815742874,0.0,0.0,0.0
1780294753.626685619,1780294753.618441105,-209.0969063968221,-103.67715976962762,0.0,0.0,0.0
