bag_ts,header_stamp,longitudinal_velocity
1780294752.591457844,1780294752.588158607,0.0
1780294752.600917578,1780294752.599772692,0.0
1780294752.625022650,1780294752.624362230,0.0
1780294752.646770954,1780294752.646002531,0.0
1780294752.669742107,1780294752.668775558,0.0
1780294752.686150551,1780294752.684509277,0.0
1780294752.712792873,1780294752.710889101,0.0
1780294752.724730730,1780294752.723090887,0.0
1780294752.746345758,1780294752.745229959,0.0
1780294752.769073486,1780294752.768299580,0.0
1780294752.780295372,1780294752.779879808,0.0
1780294752.805076361,1780294752.804166079,0.0
1780294752.828235626,1780294752.826879740,0.0
1780294752.849793434,1780294752.849004030,0.0
1780294752.866049051,1780294752.863888741,0.0
1780294752.888700962,1780294752.887621880,0.0
1780294752.903776407,1780294752.901136160,0.0
1780294752.925964117,1780294752.924378395,0.0
1780294752.947238684,1780294752.946645021,0.0
1780294752.959620237,1780294752.959210396,0.0
1780294752.983933210,1780294752.982442617,0.0
1780294753.006264210,1780294753.005925655,0.0
1780294753.028193712,1780294753.027880669,0.0
1780294753.040868044,1780294753.040318489,0.0
1780294753.063895702,1780294753.063577652,0.0
1780294753.085632324,1780294753.084759235,0.0
1780294753.107914925,1780294753.107059717,0.0
1780294753.119395971,1780294753.118913889,0.0
1780294753.141607046,1780294753.141224861,0.0
1780294753.165845394,1780294753.164799213,0.0
1780294753.179137945,1780294753.178819418,0.0
1780294753.202910662,1780294753.202685118,0.0
1780294753.226072073,1780294753.225692511,0.0
1780294753.249764681,1780294753.248378515,0.0
1780294753.261165142,1780294753.259935617,0.0
1780294753.284640074,1780294753.282246113,0.0
1780294753.305262804,1780294753.304006100,0.0
1780294753.329022884,1780294753.326945305,0.0
1780294753.343771458,1780294753.342333794,0.0
1780294753.364351034,1780294753.363893270,0.0
1780294753.386418104,1780294753.385871887,0.0
1780294753.408974409,1780294753.408529997,0.0
1780294753.420154572,1780294753.419883490,0.0
1780294753.443435431,1780294753.442485571,0.0
1780294753.466027260,1780294753.465150118,0.0
1780294753.488510609,1780294753.487144947,0.0
1780294753.504459143,1780294753.503073215,0.0
1780294753.530338526,1780294753.530076027,0.0
1780294753.542090416,1780294753.541841269,0.0
1780294753.566846132,1780294753.564968586,0.0
1780294753.587969065,1780294753.586834908,0.0
1780294753.609190464,1780294753.608894825,0.0
1780294753.621439934,1780294753.620973825,0.0
1780294753.644639492,1780294753.644167900,0.0
1780294753.667894125,1780294753.666307926,0.0
1780294753.689234495,1780294753.688763857,0.0
1780294753.704249620,1780294753.701063395,0.0
1780294753.725299358,1780294753.724722385,0.0
1780294753.747631550,1780294753.747107029,0.0
1780294753.776107311,1780294753.769586802,0.0
1780294753.780981541,1780294753.780807257,0.0
1780294753.803959608,1780294753.803316593,0.0
1780294753.825797319,1780294753.825109720,0.0
1780294753.848211765,1780294753.847351313,0.0
1780294753.869891167,1780294753.868874073,0.0
1780294753.881191730,1780294753.880752325,0.0
1780294753.904438734,1780294753.903158188,0.0
1780294753.928420782,1780294753.927386522,0.0
1780294753.949865580,1780294753.948878050,0.0
1780294753.961526394,1780294753.961014748,0.0
1780294753.984446764,1780294753.983285904,0.0
1780294754.007171392,1780294754.004914761,0.0
1780294754.028252125,1780294754.027929068,0.0
1780294754.040868521,1780294754.040218830,0.0
1780294754.062631845,1780294754.061984539,0.0
1780294754.084380627,1780294754.084038019,0.0
1780294754.107172489,1780294754.106555939,0.0
1780294754.128763676,1780294754.128523588,0.0
1780294754.140933990,1780294754.140111923,0.0
1780294754.166531086,1780294754.166063309,0.0
1780294754.189270735,1780294754.188723087,0.0
1780294754.203528166,1780294754.201817751,0.0
1780294754.227814674,1780294754.227226973,0.0
1780294754.249151707,1780294754.248825073,0.0
1780294754.261485338,1780294754.261186838,0.0
1780294754.284343481,1780294754.283729553,0.0
1780294754.307756186,1780294754.306925058,0.0
1780294754.321397066,1780294754.320745468,0.0
1780294754.344735384,1780294754.344498634,0.0
1780294754.367579222,1780294754.366859674,0.0
1780294754.379384279,1780294754.379107714,0.0
1780294754.401955366,1780294754.401192188,0.0
1780294754.424386740,1780294754.424113512,0.0
1780294754.446974754,1780294754.446431637,0.0
1780294754.460666418,1780294754.460255384,0.0
1780294754.482295752,1780294754.481762409,0.0
1780294754.504358053,1780294754.504024506,0.0
1780294754.527475834,1780294754.527201176,0.0
1780294754.552804232,1780294754.549886942,0.0
1780294754.562295675,1780294754.561976194,0.0
1780294754.584419489,1780294754.584224463,0.0
1780294754.606946468,1780294754.606603622,0.0
1780294754.630140543,1780294754.629803896,0.0
1780294754.642874479,1780294754.642471075,0.0
1780294754.664883375,1780294754.664552927,0.0
1780294754.687090635,1780294754.686810493,0.0
1780294754.700307131,1780294754.699913263,0.0
1780294754.725780010,1780294754.725129843,0.0
1780294754.740174770,1780294754.739881754,0.0
1780294754.763664246,1780294754.762918949,0.0
1780294754.787731647,1780294754.786506653,0.0
1780294754.801597595,1780294754.801042557,0.0
1780294754.824126482,1780294754.823855639,0.0
1780294754.853447199,1780294754.846918106,0.0
1780294754.859916687,1780294754.859133244,0.0
1780294754.884824991,1780294754.881789207,0.0
1780294754.904927492,1780294754.904545784,0.0
1780294754.928252220,1780294754.926165342,0.0
1780294754.940466404,1780294754.939132690,0.0
1780294754.963173389,1780294754.961353064,0.0
1780294754.985319614,1780294754.984489679,0.0
1780294755.006498337,1780294755.006079912,0.0
1780294755.029576778,1780294755.029036522,0.0
1780294755.045558929,1780294755.041882515,0.0
1780294755.066791773,1780294755.065486431,0.0
1780294755.090089321,1780294755.087147236,0.0
1780294755.101224184,1780294755.099486589,0.0
1780294755.126241684,1780294755.124097109,0.0
1780294755.147526979,1780294755.146193743,0.0
1780294755.170192003,1780294755.168817282,0.0
1780294755.182648659,1780294755.181416512,0.0
1780294755.205764532,1780294755.204107761,0.0
1780294755.221359968,1780294755.220327377,0.0
1780294755.246761799,1780294755.243489742,0.0
1780294755.265815973,1780294755.265186071,0.0
1780294755.288173914,1780294755.287149906,0.0
1780294755.300326586,1780294755.299434185,0.0
1780294755.322780371,1780294755.321952343,0.0
1780294755.346928835,1780294755.345838547,0.0
1780294755.369605541,1780294755.368434191,0.0
1780294755.381006479,1780294755.380074978,0.0
1780294755.406567097,1780294755.404608011,0.0
1780294755.430080414,1780294755.427575588,0.0
1780294755.450662136,1780294755.448793888,0.0
1780294755.461959839,1780294755.461021185,0.0
1780294755.484919071,1780294755.483779192,0.0
1780294755.507736683,1780294755.506443501,0.0
1780294755.528563499,1780294755.527881622,0.0
1780294755.541108847,1780294755.540361643,0.0
1780294755.562661886,1780294755.561879635,0.0
1780294755.585961103,1780294755.583771229,0.0
1780294755.606809855,1780294755.605827093,0.0
1780294755.629755020,1780294755.628691435,0.0
1780294755.641427517,1780294755.640813112,0.0
1780294755.665828466,1780294755.663481951,0.0
1780294755.686546087,1780294755.685399771,0.0
1780294755.701286316,1780294755.699806452,0.0
1780294755.726729870,1780294755.723152399,0.0
1780294755.749529123,1780294755.748811722,0.0
1780294755.762316465,1780294755.761159420,0.0
1780294755.785856962,1780294755.782975197,0.0
1780294755.810395718,1780294755.805976868,0.0
1780294755.832475424,1780294755.828074932,0.0
1780294755.842131615,1780294755.840905428,0.0
1780294755.866184473,1780294755.864609718,0.0
1780294755.880953312,1780294755.879082680,0.0
1780294755.903243780,1780294755.902408361,0.0
1780294755.926877260,1780294755.924494028,0.0
1780294755.947533846,1780294755.945816278,0.0
1780294755.969393015,1780294755.968308449,0.0
1780294755.984106779,1780294755.982839346,0.0
1780294756.007521868,1780294756.005281687,0.0
1780294756.029618025,1780294756.027216911,0.0
1780294756.054564953,1780294756.048786163,0.0
1780294756.064788103,1780294756.060846090,0.0
1780294756.104277611,1780294756.083613157,0.0
1780294756.137812376,1780294756.106012821,0.0
1780294756.145219803,1780294756.122646332,0.0
1780294756.148691893,1780294756.145854235,0.0
1780294756.169615984,1780294756.168303013,0.0
1780294756.180743933,1780294756.179759741,0.0
1780294756.203063965,1780294756.201898098,0.0
1780294756.225449324,1780294756.224801540,0.0
1780294756.247948647,1780294756.247000694,0.0
1780294756.259484529,1780294756.258691072,0.0
1780294756.281222820,1780294756.280699492,0.0
1780294756.303082705,1780294756.302604437,0.0
1780294756.325465679,1780294756.325067520,0.0
1780294756.347947121,1780294756.347427130,0.0
1780294756.360173702,1780294756.359740973,0.0
1780294756.382308960,1780294756.381775141,0.0
1780294756.404517651,1780294756.403900146,0.0
1780294756.428828716,1780294756.426192522,0.0
1780294756.449887514,1780294756.448186874,0.0
1780294756.460601568,1780294756.460044861,0.0
1780294756.482343674,1780294756.482053280,0.0
1780294756.506335497,1780294756.504067421,0.0
1780294756.529434681,1780294756.527391911,0.0
1780294756.540894508,1780294756.539699316,0.0
1780294756.564743042,1780294756.562387705,0.0
1780294756.590468884,1780294756.586581707,0.0
1780294756.603740931,1780294756.602105618,0.0
1780294756.629981279,1780294756.628388166,0.0
1780294756.640975237,1780294756.640441179,0.0
1780294756.663759470,1780294756.663402081,0.0
1780294756.685290575,1780294756.685035944,0.0
1780294756.708095551,1780294756.706799746,0.0
1780294756.723947525,1780294756.720971107,0.0
1780294756.744867325,1780294756.742813349,0.0
1780294756.765187740,1780294756.764902830,0.0
1780294756.788841724,1780294756.787354946,0.0
1780294756.799520731,1780294756.798685312,0.0
1780294756.828069925,1780294756.820963383,0.0
1780294756.844356537,1780294756.842756748,0.0
1780294756.866497278,1780294756.865452766,0.0
1780294756.888478756,1780294756.887902975,0.0
1780294756.902226686,1780294756.900825262,0.0
1780294756.924850464,1780294756.923590422,0.0
1780294756.949517727,1780294756.945741177,0.0
1780294756.968304157,1780294756.967962265,0.0
1780294756.979955196,1780294756.979660988,0.0
1780294757.008972645,1780294757.003887415,0.0
1780294757.026923656,1780294757.026586294,0.0
1780294757.050009966,1780294757.048672676,0.0
1780294757.062292099,1780294757.061677933,0.0
1780294757.084546089,1780294757.084247351,0.0
1780294757.106168509,1780294757.105877638,0.0
1780294757.128130198,1780294757.127583027,0.0
1780294757.140619993,1780294757.139902353,0.0
1780294757.162312508,1780294757.161769390,0.0
1780294757.184269905,1780294757.183844328,0.0
1780294757.206393242,1780294757.205813646,0.0
1780294757.221260309,1780294757.218637228,0.0
1780294757.242158175,1780294757.241828680,0.0
1780294757.264906883,1780294757.263890982,0.0
1780294757.286468267,1780294757.285958290,0.0
1780294757.308254004,1780294757.307948589,0.0
1780294757.320753098,1780294757.319855690,0.0
1780294757.343648434,1780294757.341894627,0.0
1780294757.370282888,1780294757.367421865,0.0
1780294757.380291939,1780294757.379939556,0.0
1780294757.403116703,1780294757.401979923,0.0
1780294757.424498796,1780294757.424160957,0.0
1780294757.447775841,1780294757.446964502,0.0
1780294757.459552050,1780294757.459151745,0.0
1780294757.484790087,1780294757.481033802,0.0
1780294757.521927595,1780294757.504346609,0.0
1780294757.528612137,1780294757.527132034,0.0
1780294757.549441576,1780294757.549110889,0.0
1780294757.563190699,1780294757.562803507,0.0
1780294757.586218834,1780294757.585125208,0.0
1780294757.607507467,1780294757.606662989,0.0
1780294757.620884895,1780294757.618794203,0.0
1780294757.642960310,1780294757.642306328,0.0
1780294757.664107084,1780294757.663842678,0.0
1780294757.685887337,1780294757.685656786,0.0
1780294757.708301067,1780294757.708063841,0.0
1780294757.720963478,1780294757.720417023,0.0
1780294757.743114710,1780294757.742699862,0.0
1780294757.765039921,1780294757.764790773,0.0
1780294757.787198544,1780294757.786839485,0.0
1780294757.799024582,1780294757.798699141,0.0
1780294757.820997238,1780294757.820721626,0.0
1780294757.843670130,1780294757.843237877,0.0
1780294757.865182877,1780294757.864699364,0.0
1780294757.887207270,1780294757.886782885,0.0
1780294757.902244568,1780294757.901707888,0.0
1780294757.925004244,1780294757.924492598,0.0
1780294757.946962357,1780294757.946631670,0.0
1780294757.971845150,1780294757.969187737,0.0
1780294757.982373238,1780294757.982014656,0.0
1780294758.007762909,1780294758.007470131,0.0
1780294758.030648470,1780294758.028880835,0.0
1780294758.043447256,1780294758.040841579,0.0
1780294758.065908194,1780294758.063695192,0.0
1780294758.090032339,1780294758.086414337,0.0
1780294758.108399391,1780294758.107994318,0.0
1780294758.120701313,1780294758.120082855,0.0
1780294758.143390894,1780294758.142605543,0.0
1780294758.165084124,1780294758.164628029,0.0
1780294758.188781977,1780294758.188419342,0.0
1780294758.200427532,1780294758.200022459,0.0
1780294758.228952885,1780294758.223347425,0.0
1780294758.245555878,1780294758.244953632,0.0
1780294758.267878294,1780294758.267000198,0.0
1780294758.279732704,1780294758.279014826,0.0
1780294758.305529118,1780294758.303616524,0.0
1780294758.328412294,1780294758.327733040,0.0
1780294758.340454102,1780294758.339686394,0.0
1780294758.364849567,1780294758.362440825,0.0
1780294758.386850119,1780294758.385696650,0.0
1780294758.399193048,1780294758.398552895,0.0
1780294758.421365499,1780294758.420753241,0.0
1780294758.444624662,1780294758.444313765,0.0
1780294758.466687441,1780294758.466433287,0.0
1780294758.489734411,1780294758.489117861,0.0
1780294758.501126289,1780294758.500572920,0.0
1780294758.523543835,1780294758.523212194,0.0
1780294758.545683622,1780294758.545360804,0.0
1780294758.568264961,1780294758.568031073,0.0
1780294758.580240726,1780294758.579996347,0.0
1780294758.604249716,1780294758.603809118,0.0
1780294758.627732992,1780294758.626428366,0.0
1780294758.652657032,1780294758.648558855,0.0
1780294758.661177635,1780294758.660747051,0.0
1780294758.684264660,1780294758.683486223,0.0
1780294758.706300259,1780294758.705875635,0.0
1780294758.728966236,1780294758.728570700,0.0
1780294758.743661642,1780294758.740545750,0.0
1780294758.765004635,1780294758.762794018,0.0
1780294758.785087585,1780294758.784627199,0.0
1780294758.807881832,1780294758.806959867,0.0
1780294758.818830013,1780294758.818470240,0.0
1780294758.844100475,1780294758.840675831,0.0
1780294758.865239859,1780294758.864626646,0.0
1780294758.894847631,1780294758.887661457,0.0
1780294758.903041363,1780294758.899722815,0.0
1780294758.923553944,1780294758.921948910,0.0
1780294758.945582151,1780294758.945288658,0.0
1780294758.967036486,1780294758.966821432,0.0
1780294758.989714384,1780294758.988876343,0.0
1780294759.002721071,1780294759.000916004,0.0
1780294759.028567076,1780294759.024676800,0.0
1780294759.047337055,1780294759.046728134,0.0
1780294759.059271812,1780294759.058618069,0.0
1780294759.082916260,1780294759.082501173,0.0
1780294759.105658531,1780294759.105140924,0.0
1780294759.128855467,1780294759.128526688,0.0
1780294759.141663551,1780294759.141354561,0.0
1780294759.164333582,1780294759.164071083,0.0
1780294759.186287403,1780294759.185855150,0.0
1780294759.200245857,1780294759.198795795,0.0
1780294759.224522352,1780294759.224083662,0.0
1780294759.247518778,1780294759.247203827,0.0
1780294759.258798122,1780294759.258535385,0.0
1780294759.281315804,1780294759.280730486,0.0
1780294759.303414822,1780294759.302716255,0.0
1780294759.326491833,1780294759.326167107,0.0
1780294759.349150896,1780294759.347909927,0.0
1780294759.362126350,1780294759.361409187,0.0
1780294759.384958506,1780294759.384685278,0.0
1780294759.407855034,1780294759.407049894,0.0
1780294759.420166254,1780294759.419942856,0.0
1780294759.442512512,1780294759.442032576,0.0
1780294759.472851753,1780294759.464669704,0.0
1780294759.487871408,1780294759.487440109,0.0
1780294759.502768755,1780294759.499741077,0.0
1780294759.523995399,1780294759.522048712,0.0
1780294759.548734426,1780294759.544436455,0.0
1780294759.568786144,1780294759.566129208,0.0
1780294759.588179111,1780294759.587954760,0.0
1780294759.603163242,1780294759.600236177,0.0
1780294759.624784946,1780294759.621852160,0.0
1780294759.648120165,1780294759.643983364,0.0
1780294759.670662165,1780294759.666373491,0.0
1780294759.698715210,1780294759.688501835,0.0
1780294759.711840391,1780294759.701025009,0.0
1780294759.726947069,1780294759.725057125,0.0
1780294759.749707222,1780294759.746881962,0.0
1780294759.769927740,1780294759.769091129,0.0
1780294759.785227060,1780294759.783585310,0.0
1780294759.807691574,1780294759.806234121,0.0
1780294759.828974962,1780294759.827849388,0.0
1780294759.840356350,1780294759.839534998,0.0
1780294759.863391876,1780294759.861911297,0.0
1780294759.884582281,1780294759.883740425,0.0
1780294759.906846046,1780294759.905655622,0.0
1780294759.929744959,1780294759.927827120,0.0
1780294759.940866947,1780294759.939807892,0.0
1780294759.961872101,1780294759.961646318,0.0
1780294759.984886885,1780294759.983887434,0.0
1780294760.005972862,1780294760.005740166,0.0
1780294760.028141260,1780294760.027872801,0.0
1780294760.040076494,1780294760.039819002,0.0
1780294760.062135696,1780294760.061896086,0.0
1780294760.084256887,1780294760.083977938,0.0
1780294760.106248617,1780294760.106078148,0.0
1780294760.129256010,1780294760.127969503,0.0
1780294760.144773006,1780294760.144356012,0.0
1780294760.167286634,1780294760.166273594,0.0
1780294760.187954903,1780294760.187684774,0.0
1780294760.205787659,1780294760.202047586,0.0
1780294760.224268913,1780294760.224026918,0.0
1780294760.246033192,1780294760.245726347,0.0
1780294760.267819405,1780294760.267533779,0.0
1780294760.280573130,1780294760.279711246,0.0
1780294760.303739309,1780294760.302035332,0.0
1780294760.324462414,1780294760.324213743,0.0
1780294760.345974445,1780294760.345707178,0.0
1780294760.369179010,1780294760.368898392,0.0
1780294760.384130239,1780294760.383644581,0.0
1780294760.406699181,1780294760.405605555,0.0
1780294760.429438114,1780294760.427664995,0.0
1780294760.450655460,1780294760.449770689,0.0
1780294760.464601278,1780294760.461408138,0.0
1780294760.484958887,1780294760.483623505,0.0
1780294760.506131887,1780294760.505463839,0.0
1780294760.528774261,1780294760.527663231,0.0
1780294760.539717913,1780294760.539450884,0.0
1780294760.563925505,1780294760.561825991,0.0
1780294760.584460497,1780294760.584136009,0.0
1780294760.606927395,1780294760.605959892,0.0
1780294760.628417969,1780294760.628066540,0.0
1780294760.640382767,1780294760.640032053,0.0
1780294760.662260771,1780294760.661908388,0.0
1780294760.686237097,1780294760.684952736,0.0
1780294760.707705259,1780294760.706939459,0.0
1780294760.720917702,1780294760.720364332,0.0
1780294760.743111610,1780294760.742869616,0.0
1780294760.765290499,1780294760.764913559,0.0
1780294760.788604498,1780294760.788333416,0.0
1780294760.802673101,1780294760.802200794,0.0
1780294760.824476957,1780294760.824235678,0.0
1780294760.846883774,1780294760.846554995,0.0
1780294760.859252930,1780294760.858800888,0.0
1780294760.883179426,1780294760.881364584,0.0
1780294760.905577421,1780294760.904965401,0.0
1780294760.929068089,1780294760.926962614,0.0
1780294760.939323664,1780294760.938702583,0.0
1780294760.962367773,1780294760.961123705,0.0
1780294760.983177423,1780294760.982612848,0.0
1780294761.008644104,1780294761.006646156,0.0
1780294761.020449162,1780294761.019872189,0.0
1780294761.042381525,1780294761.042139053,0.0
1780294761.066138744,1780294761.065900326,0.0
1780294761.090400934,1780294761.088976145,0.0
1780294761.101469278,1780294761.101055622,0.0
1780294761.123532057,1780294761.123227596,0.0
1780294761.145440340,1780294761.145101786,0.0
1780294761.174124479,1780294761.167833328,0.0
1780294761.180474043,1780294761.180159092,0.0
1780294761.202992439,1780294761.202636003,0.0
1780294761.224752665,1780294761.224564314,0.0
1780294761.248420477,1780294761.247081757,0.0
1780294761.260290861,1780294761.260009766,0.0
1780294761.284754753,1780294761.281923532,0.0
1780294761.303788185,1780294761.300543308,0.0
1780294761.330082178,1780294761.329099894,0.0
1780294761.341592073,1780294761.340866566,0.0
1780294761.364274025,1780294761.363629103,0.0
1780294761.389297962,1780294761.387703657,0.0
1780294761.402328014,1780294761.401327848,0.0
1780294761.424035549,1780294761.423464060,0.0
1780294761.446803331,1780294761.446052790,0.0
1780294761.469519138,1780294761.469168901,0.0
1780294761.482469559,1780294761.481867552,0.0
1780294761.509461164,1780294761.505106926,0.0
1780294761.528271437,1780294761.527298927,0.0
1780294761.542625189,1780294761.538795233,0.0
1780294761.564754009,1780294761.562665701,0.0
1780294761.585797548,1780294761.584867477,0.0
1780294761.608407259,1780294761.607405424,0.0
1780294761.631120682,1780294761.629836798,0.0
1780294761.643346786,1780294761.642455101,0.0
1780294761.668157816,1780294761.666589737,0.0
1780294761.690588474,1780294761.689102888,0.0
1780294761.703658581,1780294761.700918913,0.0
